Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak,Prodi,Label,abstrak_tokens
Gerak Pekerja Pada Game Real Time Strategy Menggunakan Finite State Machine,Adi Chandra Laksono,"Kurniawan Eka P, S.Kom., Msc","Arik Kurniawati, S.Kom., M.T.",gerak kerja game milik genre rts real time strategy gerak kerja milik gerak butuh dekat konsep ai desain perilaku kerja perilaku karakter tambah ai artifical intelegent perilaku hidup realistis teliti ai finite state machine finite state machine tentu gerak kerja parameter parameter dasar gerak simulasi game rts game engine hasil oleh teliti terap metode finite state machine tentu gerak kerja dasar parameter harta prajurit kondisi bangu stockpile resources bawa kunci game real time strategy gerak kerja finite state machine, Jurusan Teknik Informatika,RPL,"['gerak', 'kerja', 'game', 'milik', 'genre', 'rts', 'real', 'time', 'strategy', 'gerak', 'kerja', 'milik', 'gerak', 'butuh', 'dekat', 'konsep', 'ai', 'desain', 'perilaku', 'kerja', 'perilaku', 'karakter', 'tambah', 'ai', 'artifical', 'intelegent', 'perilaku', 'hidup', 'realistis', 'teliti', 'ai', 'finite', 'state', 'machine', 'finite', 'state', 'machine', 'tentu', 'gerak', 'kerja', 'parameter', 'parameter', 'dasar', 'gerak', 'simulasi', 'game', 'rts', 'game', 'engine', 'hasil', 'oleh', 'teliti', 'terap', 'metode', 'finite', 'state', 'machine', 'tentu', 'gerak', 'kerja', 'dasar', 'parameter', 'harta', 'prajurit', 'kondisi', 'bangu', 'stockpile', 'resources', 'bawa', 'kunci', 'game', 'real', 'time', 'strategy', 'gerak', 'kerja', 'finite', 'state', 'machine']"
RANCANG BANGUN GAME PERAWATAN SAPI KARAPAN MENGGUNAKAN METODE FUZZY LOGIC,NURRACHMAT,"Arik Kurniawati, S.Kom., M.T.","Kurniawan Eka Permana, S.Kom., MSc.",kembang game pesat alternative minat bentuk game cerita media saji ada game gambar budaya indonesia daerah pulau madura hitung rasa luntur budaya indonesia anak bangsa minat game sarana kenal budaya asli madura aplikasi game olahraga gari pulau madura kerap sapi bangun aplikasi game kerap sapi upaya lestari budaya bangsa pulau madura upaya buat game budaya bangun game awat sapi karapan metode logika fuzzy fuzzy logic menginputkan parameter kuat sehat sapi karapan tentu harga jual sapi karapan game awat sapi karapan kunci game kerap sapi awat sapi kerap budaya madura, Jurusan Teknik Informatika,RPL,"['kembang', 'game', 'pesat', 'alternative', 'minat', 'bentuk', 'game', 'cerita', 'media', 'saji', 'ada', 'game', 'gambar', 'budaya', 'indonesia', 'daerah', 'pulau', 'madura', 'hitung', 'rasa', 'luntur', 'budaya', 'indonesia', 'anak', 'bangsa', 'minat', 'game', 'sarana', 'kenal', 'budaya', 'asli', 'madura', 'aplikasi', 'game', 'olahraga', 'gari', 'pulau', 'madura', 'kerap', 'sapi', 'bangun', 'aplikasi', 'game', 'kerap', 'sapi', 'upaya', 'lestari', 'budaya', 'bangsa', 'pulau', 'madura', 'upaya', 'buat', 'game', 'budaya', 'bangun', 'game', 'awat', 'sapi', 'karapan', 'metode', 'logika', 'fuzzy', 'fuzzy', 'logic', 'menginputkan', 'parameter', 'kuat', 'sehat', 'sapi', 'karapan', 'tentu', 'harga', 'jual', 'sapi', 'karapan', 'game', 'awat', 'sapi', 'karapan', 'kunci', 'game', 'kerap', 'sapi', 'awat', 'sapi', 'kerap', 'budaya', 'madura']"
EKSTRAKSI FITUR BERBASIS TWO DIMENSIONAL LINEAR DISCRIMINANT ANALYSIS  UNTUK PENGENALAN WAJAH,Muhammad Choirur Rozi,"Dr. Arif Muntasa, S.Si.,M.T","Fitri Damayanti, S.Kom.,M.kom",sistem kenal wajah sistem nali identitas wajah manusia teknologi identifikasi tubuh manusia unik wajah manusia khusus bidang identifikasi kenal wajah manusia manfaat olah analisis citra wajah peran proses kenal wajah manusia sistem manfaat sistem ama bidang biometrika teliti bangun perangkat lunak kenal citra wajah manusia metode two dimensional linear discrimit analysis dlda tentu karakteristik wajah manusia tahap klasifikasi metode angular separation ukur mirip data latih training data uji coba testing proses testing gambar wajah tahu identitas uji coba aplikasi klasifikasi angular separation oleh akurasi kenal pose citra wajah latih pose citra wajah uji coba testing data ratus citra wajah manusia ambil database orl puluh eigen kunci sistem kenal wajah two dimensional linear discrimit analysis angular separation, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['sistem', 'kenal', 'wajah', 'sistem', 'nali', 'identitas', 'wajah', 'manusia', 'teknologi', 'identifikasi', 'tubuh', 'manusia', 'unik', 'wajah', 'manusia', 'khusus', 'bidang', 'identifikasi', 'kenal', 'wajah', 'manusia', 'manfaat', 'olah', 'analisis', 'citra', 'wajah', 'peran', 'proses', 'kenal', 'wajah', 'manusia', 'sistem', 'manfaat', 'sistem', 'ama', 'bidang', 'biometrika', 'teliti', 'bangun', 'perangkat', 'lunak', 'kenal', 'citra', 'wajah', 'manusia', 'metode', 'two', 'dimensional', 'linear', 'discrimit', 'analysis', 'dlda', 'tentu', 'karakteristik', 'wajah', 'manusia', 'tahap', 'klasifikasi', 'metode', 'angular', 'separation', 'ukur', 'mirip', 'data', 'latih', 'training', 'data', 'uji', 'coba', 'testing', 'proses', 'testing', 'gambar', 'wajah', 'tahu', 'identitas', 'uji', 'coba', 'aplikasi', 'klasifikasi', 'angular', 'separation', 'oleh', 'akurasi', 'kenal', 'pose', 'citra', 'wajah', 'latih', 'pose', 'citra', 'wajah', 'uji', 'coba', 'testing', 'data', 'ratus', 'citra', 'wajah', 'manusia', 'ambil', 'database', 'orl', 'puluh', 'eigen', 'kunci', 'sistem', 'kenal', 'wajah', 'two', 'dimensional', 'linear', 'discrimit', 'analysis', 'angular', 'separation']"
IMPLEMENTASI  ALGORITMA PRIM  DAN DEPTH FIRST SEARCH PADA PEMBUATAN MAZE GAME BERBASIS ANDROID OS MOBILE,M Khoiril Anwar,"Cucun Very Angkoso, S.T., M.T.","Arik Kurniawati S. Kom., M.T.",teknologi mobile game beroperating system open source kembang pesat ragam variasi mobile game milik minat kalang dasar kembang kembang mobile game teliti mobile game asah mampu berfikir kembang implementasi algoritma prim depth first search buat algoritma prim terap buat lintas maze algoritma depth first search terap proses cari solusi hasil uji simpul algoritma prim depth first search fungsi resolusi screen x pixels bentuk lintas cari solusi maze kunci mobile game android algoritma prim algoritma depth first search, Jurusan Teknik Informatika,RPL,"['teknologi', 'mobile', 'game', 'beroperating', 'system', 'open', 'source', 'kembang', 'pesat', 'ragam', 'variasi', 'mobile', 'game', 'milik', 'minat', 'kalang', 'dasar', 'kembang', 'kembang', 'mobile', 'game', 'teliti', 'mobile', 'game', 'asah', 'mampu', 'berfikir', 'kembang', 'implementasi', 'algoritma', 'prim', 'depth', 'first', 'search', 'buat', 'algoritma', 'prim', 'terap', 'buat', 'lintas', 'maze', 'algoritma', 'depth', 'first', 'search', 'terap', 'proses', 'cari', 'solusi', 'hasil', 'uji', 'simpul', 'algoritma', 'prim', 'depth', 'first', 'search', 'fungsi', 'resolusi', 'screen', 'x', 'pixels', 'bentuk', 'lintas', 'cari', 'solusi', 'maze', 'kunci', 'mobile', 'game', 'android', 'algoritma', 'prim', 'algoritma', 'depth', 'first', 'search']"
Perancangan Sistem Informasi Badan Kepegawaian Daerah ( BKD ) Bangkalan Sebagai Sub sistem dari E-Government Bangkalan Menggunakan TOGAF ADM ,MALIKUL HAMZAH,"Moch. Kautsar Sophan, S.Kom., M.MT.","Yeni Kustiyaningsih, S.Kom., M.Kom.",kantor badan pegawai kota bangkal instansi perintah gerak bidang pelaya pegawai tingkat kualitas pelaya sistem informasi memonitoring bantu proses kerja dinas teliti bahas terap architecture enterprise bkd bangkal menggunakkan metode togaf adm mengimplementa sikannya dalam implementasi aplikasi enterprise bentuk padu e government bangkal togaf adm milik komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi inti togaf architecture enterprise aspek teliti bahas ancang sistem arsitektur sistem informasi bkd bangkal sub sistem e government bangkal togaf adm tuju hasil sistem aplikasi administrasi kantor badan pegawai daerah bangkal blue print baik efisiensi kenyama aksesibilitas pelaya publik kunci arsitektur interprise togaf adm arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi, Jurusan Teknik Informatika,RPL,"['kantor', 'badan', 'pegawai', 'kota', 'bangkal', 'instansi', 'perintah', 'gerak', 'bidang', 'pelaya', 'pegawai', 'tingkat', 'kualitas', 'pelaya', 'sistem', 'informasi', 'memonitoring', 'bantu', 'proses', 'kerja', 'dinas', 'teliti', 'bahas', 'terap', 'architecture', 'enterprise', 'bkd', 'bangkal', 'menggunakkan', 'metode', 'togaf', 'adm', 'mengimplementa', 'sikannya', 'dalam', 'implementasi', 'aplikasi', 'enterprise', 'bentuk', 'padu', 'e', 'government', 'bangkal', 'togaf', 'adm', 'milik', 'komponen', 'utama', 'arsitektur', 'bisnis', 'arsitektur', 'data', 'arsitektur', 'teknologi', 'arsitektur', 'aplikasi', 'inti', 'togaf', 'architecture', 'enterprise', 'aspek', 'teliti', 'bahas', 'ancang', 'sistem', 'arsitektur', 'sistem', 'informasi', 'bkd', 'bangkal', 'sub', 'sistem', 'e', 'government', 'bangkal', 'togaf', 'adm', 'tuju', 'hasil', 'sistem', 'aplikasi', 'administrasi', 'kantor', 'badan', 'pegawai', 'daerah', 'bangkal', 'blue', 'print', 'baik', 'efisiensi', 'kenyama', 'aksesibilitas', 'pelaya', 'publik', 'kunci', 'arsitektur', 'interprise', 'togaf', 'adm', 'arsitektur', 'bisnis', 'arsitektur', 'data', 'arsitektur', 'aplikasi', 'arsitektur', 'teknologi']"
PEMANFAATAN TOGAF ADM UNTUK PERANCANGAN SISTEM INFORMASI DINAS PERINDUSTRIAN & PERDAGANGAN SEBAGAI SUB SISTEM ARSITEKTUR E-GOVERNMENT KABUPATEN BANGKALAN,Norman,"M. Kautsar Sophan, S.Kom., M. MT.","Yeni Kustiyahningsih S.Kom., M.Kom.",susu sistem informasi dinas industri dagang disperindag kabupaten bangkal tingkat kualitas pelaya bantu proses kerja dinas salah faktor dorong manfaat sistem informasi tingkat butuh fungsi pelaya jalan tuju terap arsitektur enterprise cipta selaras bisnis teknologi informasi butuh instansi terap arsitektur enterprise lepas instansi rencana rancang arsitektur enterprise togaf adm metodologi lengkap instansi paham tahap tahap metodologi terjemah aktivitas ancang arsitektur enterprise tahap ancang arsitektur enterprise lanjut tahap rencana implementasi togaf adm milik komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi inti togaf arsitektur enterprise aspek hasil model kerangka dasar kembang sistem informasi integrasi dukung butuh dinas industri dagang sesuai atur bupati bangkal nomor urai tugas jabat struktural dinas industri dagang, Jurusan Teknik Informatika,RPL,"['susu', 'sistem', 'informasi', 'dinas', 'industri', 'dagang', 'disperindag', 'kabupaten', 'bangkal', 'tingkat', 'kualitas', 'pelaya', 'bantu', 'proses', 'kerja', 'dinas', 'salah', 'faktor', 'dorong', 'manfaat', 'sistem', 'informasi', 'tingkat', 'butuh', 'fungsi', 'pelaya', 'jalan', 'tuju', 'terap', 'arsitektur', 'enterprise', 'cipta', 'selaras', 'bisnis', 'teknologi', 'informasi', 'butuh', 'instansi', 'terap', 'arsitektur', 'enterprise', 'lepas', 'instansi', 'rencana', 'rancang', 'arsitektur', 'enterprise', 'togaf', 'adm', 'metodologi', 'lengkap', 'instansi', 'paham', 'tahap', 'tahap', 'metodologi', 'terjemah', 'aktivitas', 'ancang', 'arsitektur', 'enterprise', 'tahap', 'ancang', 'arsitektur', 'enterprise', 'lanjut', 'tahap', 'rencana', 'implementasi', 'togaf', 'adm', 'milik', 'komponen', 'utama', 'arsitektur', 'bisnis', 'arsitektur', 'data', 'arsitektur', 'teknologi', 'arsitektur', 'aplikasi', 'inti', 'togaf', 'arsitektur', 'enterprise', 'aspek', 'hasil', 'model', 'kerangka', 'dasar', 'kembang', 'sistem', 'informasi', 'integrasi', 'dukung', 'butuh', 'dinas', 'industri', 'dagang', 'sesuai', 'atur', 'bupati', 'bangkal', 'nomor', 'urai', 'tugas', 'jabat', 'struktural', 'dinas', 'industri', 'dagang']"
APLIKASI METODE FUZZY ANALYTIC NETWORK PROCESS (FANP) UNTUK MENDUKUNG KEPUTUSAN PROSES PROMOSI JABATAN DI PT. SURYA MADISTRINDO PAMEKASAN,"Robiatul Adawiyah, S.Kom","Diana Rahmawati, S.T, M.T","Budi Dwi Satoto, S.T, M.Kom",usaha perintah swasta tuju capai capai tuju usaha manfaat sumber daya milik optimal salah sumber daya sumber daya manusia milik usaha sesuai atur tetap pt surya madistrindo pamekasan proses promosi jabat kriteria kriteria aspek kapasitas intelektual aspek sikap kerja aspek perilaku sub kriteria sendiri metode metode fuzzy analytic network process fanp metode fanp cari bobot prioritas penting kriteria sub kriteria tetap proses rangking bobot kriteria data karyawan bobot oleh hasil kuesioner pimpi usaha proses rangking ali nilai bobot kriteria sub kriteria seleksi karyawan hak duduk jabat sedia dasar kriteria kriteria tentu hasil uji coba selesai studi proses promosi jabat karyawan hasil nilai akurasi kunci sistem dukung putus promosi jabat fuzzy analytic network process fanp, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['usaha', 'perintah', 'swasta', 'tuju', 'capai', 'capai', 'tuju', 'usaha', 'manfaat', 'sumber', 'daya', 'milik', 'optimal', 'salah', 'sumber', 'daya', 'sumber', 'daya', 'manusia', 'milik', 'usaha', 'sesuai', 'atur', 'tetap', 'pt', 'surya', 'madistrindo', 'pamekasan', 'proses', 'promosi', 'jabat', 'kriteria', 'kriteria', 'aspek', 'kapasitas', 'intelektual', 'aspek', 'sikap', 'kerja', 'aspek', 'perilaku', 'sub', 'kriteria', 'sendiri', 'metode', 'metode', 'fuzzy', 'analytic', 'network', 'process', 'fanp', 'metode', 'fanp', 'cari', 'bobot', 'prioritas', 'penting', 'kriteria', 'sub', 'kriteria', 'tetap', 'proses', 'rangking', 'bobot', 'kriteria', 'data', 'karyawan', 'bobot', 'oleh', 'hasil', 'kuesioner', 'pimpi', 'usaha', 'proses', 'rangking', 'ali', 'nilai', 'bobot', 'kriteria', 'sub', 'kriteria', 'seleksi', 'karyawan', 'hak', 'duduk', 'jabat', 'sedia', 'dasar', 'kriteria', 'kriteria', 'tentu', 'hasil', 'uji', 'coba', 'selesai', 'studi', 'proses', 'promosi', 'jabat', 'karyawan', 'hasil', 'nilai', 'akurasi', 'kunci', 'sistem', 'dukung', 'putus', 'promosi', 'jabat', 'fuzzy', 'analytic', 'network', 'process', 'fanp']"
SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI MENU DIET BAGI PASIEN RAWAT INAP MENGGUNAKAN METODE HARRIS BENEDICT DAN EUCLIDEAN (Studi Kasus : RSUD Dr. H. Moh. Anwar Sumenep),Desy Mariana S. Kom,"Haryanto ST, MT","Firli Irhamni ST, M. Kom",pelaya pasien rawat inap rumah sakit tuju menu diet sesuai syarat gizi minimal sesuai sakit derita pasien menu sedia rumah sakit perhati butuh kalori pasien individu akibat sedia pasien sesuai butuh kalori hari pasien buat sistem dukung putus rekomendasi menu diet pasien alat bantu sedia menu pasienmetode metode harris benedict hitung total kalori pasien metode euclidean perankingannya harap aplikasi sistem dukung putus rekomendasi menu diet pasien serta jelas butuh kalori hari asupan hari batas kunci sistem dukung putus harris benedict euclidean, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['pelaya', 'pasien', 'rawat', 'inap', 'rumah', 'sakit', 'tuju', 'menu', 'diet', 'sesuai', 'syarat', 'gizi', 'minimal', 'sesuai', 'sakit', 'derita', 'pasien', 'menu', 'sedia', 'rumah', 'sakit', 'perhati', 'butuh', 'kalori', 'pasien', 'individu', 'akibat', 'sedia', 'pasien', 'sesuai', 'butuh', 'kalori', 'hari', 'pasien', 'buat', 'sistem', 'dukung', 'putus', 'rekomendasi', 'menu', 'diet', 'pasien', 'alat', 'bantu', 'sedia', 'menu', 'pasienmetode', 'metode', 'harris', 'benedict', 'hitung', 'total', 'kalori', 'pasien', 'metode', 'euclidean', 'perankingannya', 'harap', 'aplikasi', 'sistem', 'dukung', 'putus', 'rekomendasi', 'menu', 'diet', 'pasien', 'serta', 'jelas', 'butuh', 'kalori', 'hari', 'asupan', 'hari', 'batas', 'kunci', 'sistem', 'dukung', 'putus', 'harris', 'benedict', 'euclidean']"
RANCANG BANGUN APLIKASI PEMILIHAN TEKNIK REKAYASA KEBUTUHAN MENGGUNAKAN METODE SELF ORGANIZING MAP BERBASIS EUCLIDEAN DISTANCE DAN CANBERRA DISTANCE MATRIX,Lia Fransiska,"Firli Irhamni S.T, M.Kom","Budi Dwi Satoto S.T, M.Kom",susu sistem dukung putus pilih teknik rekayasa butuh bantu kembang perangkat lunak bangun proyek perangkat lunak pilih teknik rekayasa butuh dasar pilih system analis sangkut dasar karakteristik teknik rekayasa butuh sesuai proyek perangkat lunak hasil perangkat lunak proses evaluasi pilih teknik rekayasa butuh salah tahap proyek kembang perangkat lunak dalam spk proses pilih teknik rekayasa butuh kriteria atribut project kembang perangkat lunak proses clustering metode self organizing map som parameter distance matrix megan data multi dimensional euclidean canberra jenis distance matrix lazim tingkat akurasi megan data riil hasil oleh banding hasil clustering metode som bas euclidean distance canberra distance matrix hasil teknik rekayasa butuh efisien obyektif sesuai karakteristik proyek perangkat lunak kunci sistem dukung putus teknik rekayasa butuh clustering self organizing map canberra distance matrix, Jurusan Teknik Informatika,RPL,"['susu', 'sistem', 'dukung', 'putus', 'pilih', 'teknik', 'rekayasa', 'butuh', 'bantu', 'kembang', 'perangkat', 'lunak', 'bangun', 'proyek', 'perangkat', 'lunak', 'pilih', 'teknik', 'rekayasa', 'butuh', 'dasar', 'pilih', 'system', 'analis', 'sangkut', 'dasar', 'karakteristik', 'teknik', 'rekayasa', 'butuh', 'sesuai', 'proyek', 'perangkat', 'lunak', 'hasil', 'perangkat', 'lunak', 'proses', 'evaluasi', 'pilih', 'teknik', 'rekayasa', 'butuh', 'salah', 'tahap', 'proyek', 'kembang', 'perangkat', 'lunak', 'dalam', 'spk', 'proses', 'pilih', 'teknik', 'rekayasa', 'butuh', 'kriteria', 'atribut', 'project', 'kembang', 'perangkat', 'lunak', 'proses', 'clustering', 'metode', 'self', 'organizing', 'map', 'som', 'parameter', 'distance', 'matrix', 'megan', 'data', 'multi', 'dimensional', 'euclidean', 'canberra', 'jenis', 'distance', 'matrix', 'lazim', 'tingkat', 'akurasi', 'megan', 'data', 'riil', 'hasil', 'oleh', 'banding', 'hasil', 'clustering', 'metode', 'som', 'bas', 'euclidean', 'distance', 'canberra', 'distance', 'matrix', 'hasil', 'teknik', 'rekayasa', 'butuh', 'efisien', 'obyektif', 'sesuai', 'karakteristik', 'proyek', 'perangkat', 'lunak', 'kunci', 'sistem', 'dukung', 'putus', 'teknik', 'rekayasa', 'butuh', 'clustering', 'self', 'organizing', 'map', 'canberra', 'distance', 'matrix']"
DETEKSI COREPOINT SIDIK JARI MENGGUNAKAN METODE GEOMETRY OF REGION TECHNIQUE (GR),Erwina Safitri,"Dr. Indah Agustien, S.Kom., M.Kom","Fitri Damayanti, S.Kom., M.Kom",sidik jari salah karakteristik fisik manusia identifikasi manusia sidik jari karakteristik ubah kecuali luka rusak akibat celaka sidik jari tindak kriminal curi curang administrasi proses deteksi sidik jari mudah wajib megan proses deteksi laku program komputer tahap hitung tentu titik kenal corepoint proses peran proses identifikasi manusia tentu corepoint titik sidik jari manual otomatis manual laku kasat mata otomatis tentu sistem tugas tentu corepoint sidik jari otomatis metode geometry of region technique gr citra tugas oleh database fvc fingerprint bitmaps hasil uji coba sistem baik deteksi corepoint sidik jari metode geometry of region technique gr m v proses normalisasi ukur blok x pixel hasil akurasi sistem dapat kunci sidik jari corepoint geometry of region technique gr normalisasi, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['sidik', 'jari', 'salah', 'karakteristik', 'fisik', 'manusia', 'identifikasi', 'manusia', 'sidik', 'jari', 'karakteristik', 'ubah', 'kecuali', 'luka', 'rusak', 'akibat', 'celaka', 'sidik', 'jari', 'tindak', 'kriminal', 'curi', 'curang', 'administrasi', 'proses', 'deteksi', 'sidik', 'jari', 'mudah', 'wajib', 'megan', 'proses', 'deteksi', 'laku', 'program', 'komputer', 'tahap', 'hitung', 'tentu', 'titik', 'kenal', 'corepoint', 'proses', 'peran', 'proses', 'identifikasi', 'manusia', 'tentu', 'corepoint', 'titik', 'sidik', 'jari', 'manual', 'otomatis', 'manual', 'laku', 'kasat', 'mata', 'otomatis', 'tentu', 'sistem', 'tugas', 'tentu', 'corepoint', 'sidik', 'jari', 'otomatis', 'metode', 'geometry', 'of', 'region', 'technique', 'gr', 'citra', 'tugas', 'oleh', 'database', 'fvc', 'fingerprint', 'bitmaps', 'hasil', 'uji', 'coba', 'sistem', 'baik', 'deteksi', 'corepoint', 'sidik', 'jari', 'metode', 'geometry', 'of', 'region', 'technique', 'gr', 'm', 'v', 'proses', 'normalisasi', 'ukur', 'blok', 'x', 'pixel', 'hasil', 'akurasi', 'sistem', 'dapat', 'kunci', 'sidik', 'jari', 'corepoint', 'geometry', 'of', 'region', 'technique', 'gr', 'normalisasi']"
