Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak,Prodi,Label,abstrak_tokens
Gerak Pekerja Pada Game Real Time Strategy Menggunakan Finite State Machine,Adi Chandra Laksono,"Kurniawan Eka P, S.Kom., Msc","Arik Kurniawati, S.Kom., M.T.",gerak pekerja game memiliki genre rts real time strategy gerak pekerja memiliki gerak dibutuhkan pendekatan konsep ai mendesain perilaku pekerja perilaku karakter ditambahi ai artifical intelegent perilakunya hidup realistis penelitian ai finite state machine finite state machine menentukan gerak pekerja parameter parameter dasar gerak disimulasikan game rts game engine hasil peroleh penelitian penerapan metode finite state machine menentukan gerak pekerja berdasarkan parameter harta prajurit kondisi bangu stockpile resources bawa kunci game real time strategy gerak pekerja finite state machine, Jurusan Teknik Informatika,RPL,"['gerak', 'pekerja', 'game', 'memiliki', 'genre', 'rts', 'real', 'time', 'strategy', 'gerak', 'pekerja', 'memiliki', 'gerak', 'dibutuhkan', 'pendekatan', 'konsep', 'ai', 'mendesain', 'perilaku', 'pekerja', 'perilaku', 'karakter', 'ditambahi', 'ai', 'artifical', 'intelegent', 'perilakunya', 'hidup', 'realistis', 'penelitian', 'ai', 'finite', 'state', 'machine', 'finite', 'state', 'machine', 'menentukan', 'gerak', 'pekerja', 'parameter', 'parameter', 'dasar', 'gerak', 'disimulasikan', 'game', 'rts', 'game', 'engine', 'hasil', 'peroleh', 'penelitian', 'penerapan', 'metode', 'finite', 'state', 'machine', 'menentukan', 'gerak', 'pekerja', 'berdasarkan', 'parameter', 'harta', 'prajurit', 'kondisi', 'bangu', 'stockpile', 'resources', 'bawa', 'kunci', 'game', 'real', 'time', 'strategy', 'gerak', 'pekerja', 'finite', 'state', 'machine']"
RANCANG BANGUN GAME PERAWATAN SAPI KARAPAN MENGGUNAKAN METODE FUZZY LOGIC,NURRACHMAT,"Arik Kurniawati, S.Kom., M.T.","Kurniawan Eka Permana, S.Kom., MSc.",perkembangan game pesat alternative peminatnya bentuk game cerita media penyajian keberadaan game menggambarkan budaya indonesia daerah kepulauan madura terhitung dirasa lunturnya kebudayaan indonesia anak bangsa peminat game sarana pengenalan budaya asli madura aplikasi game olahraga digemari pulau madura kerapan sapi dibangun aplikasi game kerapan sapi upaya pelestarian budaya bangsa pulau madura upaya pembuatan game budaya dibangun game perawatan sapi karapan metode logika fuzzy fuzzy logic menginputkan parameter kekuatan kesehatan sapi karapan menentukan harga jual sapi karapan game perawatan sapi karapan kunci game kerapan sapi perawatan sapi kerapan budaya madura, Jurusan Teknik Informatika,RPL,"['perkembangan', 'game', 'pesat', 'alternative', 'peminatnya', 'bentuk', 'game', 'cerita', 'media', 'penyajian', 'keberadaan', 'game', 'menggambarkan', 'budaya', 'indonesia', 'daerah', 'kepulauan', 'madura', 'terhitung', 'dirasa', 'lunturnya', 'kebudayaan', 'indonesia', 'anak', 'bangsa', 'peminat', 'game', 'sarana', 'pengenalan', 'budaya', 'asli', 'madura', 'aplikasi', 'game', 'olahraga', 'digemari', 'pulau', 'madura', 'kerapan', 'sapi', 'dibangun', 'aplikasi', 'game', 'kerapan', 'sapi', 'upaya', 'pelestarian', 'budaya', 'bangsa', 'pulau', 'madura', 'upaya', 'pembuatan', 'game', 'budaya', 'dibangun', 'game', 'perawatan', 'sapi', 'karapan', 'metode', 'logika', 'fuzzy', 'fuzzy', 'logic', 'menginputkan', 'parameter', 'kekuatan', 'kesehatan', 'sapi', 'karapan', 'menentukan', 'harga', 'jual', 'sapi', 'karapan', 'game', 'perawatan', 'sapi', 'karapan', 'kunci', 'game', 'kerapan', 'sapi', 'perawatan', 'sapi', 'kerapan', 'budaya', 'madura']"
EKSTRAKSI FITUR BERBASIS TWO DIMENSIONAL LINEAR DISCRIMINANT ANALYSIS  UNTUK PENGENALAN WAJAH,Muhammad Choirur Rozi,"Dr. Arif Muntasa, S.Si.,M.T","Fitri Damayanti, S.Kom.,M.kom",sistem pengenalan wajah sistem mengenali identitas wajah manusia teknologi mengidentifikasi tubuh manusia unik wajah manusia khusus bidang identifikasi pengenalan wajah manusia memanfaatkan pengolahan analisis citra wajah berperan proses pengenalan wajah manusia sistem manfaatkan sistem keama bidang biometrika penelitian bangun perangkat lunak pengenalan citra wajah manusia metode two dimensional linear discrimit analysis dlda menentukan karakteristik wajah manusia tahap pengklasifikasian metode angular separation mengukur kemiripan data pelatihan training data uji coba testing proses testing gambar wajah ketahui identitas uji coba aplikasi klasifikasi angular separation peroleh akurasi pengenalan pose citra wajah pelatihan pose citra wajah uji coba testing data ratus citra wajah manusia ambil database orl sepuluh eigen kunci sistem pengenalan wajah two dimensional linear discrimit analysis angular separation, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['sistem', 'pengenalan', 'wajah', 'sistem', 'mengenali', 'identitas', 'wajah', 'manusia', 'teknologi', 'mengidentifikasi', 'tubuh', 'manusia', 'unik', 'wajah', 'manusia', 'khusus', 'bidang', 'identifikasi', 'pengenalan', 'wajah', 'manusia', 'memanfaatkan', 'pengolahan', 'analisis', 'citra', 'wajah', 'berperan', 'proses', 'pengenalan', 'wajah', 'manusia', 'sistem', 'manfaatkan', 'sistem', 'keama', 'bidang', 'biometrika', 'penelitian', 'bangun', 'perangkat', 'lunak', 'pengenalan', 'citra', 'wajah', 'manusia', 'metode', 'two', 'dimensional', 'linear', 'discrimit', 'analysis', 'dlda', 'menentukan', 'karakteristik', 'wajah', 'manusia', 'tahap', 'pengklasifikasian', 'metode', 'angular', 'separation', 'mengukur', 'kemiripan', 'data', 'pelatihan', 'training', 'data', 'uji', 'coba', 'testing', 'proses', 'testing', 'gambar', 'wajah', 'ketahui', 'identitas', 'uji', 'coba', 'aplikasi', 'klasifikasi', 'angular', 'separation', 'peroleh', 'akurasi', 'pengenalan', 'pose', 'citra', 'wajah', 'pelatihan', 'pose', 'citra', 'wajah', 'uji', 'coba', 'testing', 'data', 'ratus', 'citra', 'wajah', 'manusia', 'ambil', 'database', 'orl', 'sepuluh', 'eigen', 'kunci', 'sistem', 'pengenalan', 'wajah', 'two', 'dimensional', 'linear', 'discrimit', 'analysis', 'angular', 'separation']"
IMPLEMENTASI  ALGORITMA PRIM  DAN DEPTH FIRST SEARCH PADA PEMBUATAN MAZE GAME BERBASIS ANDROID OS MOBILE,M Khoiril Anwar,"Cucun Very Angkoso, S.T., M.T.","Arik Kurniawati S. Kom., M.T.",teknologi mobile game beroperating system open source berkembang pesat keragaman variasinya mobile game memiliki peminat kalangan dasar pengembang mengembangkan mobile game penelitian mobile game mengasah kemampuan berfikir dikembangkan mengimplementasikan algoritma prim depth first search pembuatannya algoritma prim diterapkan pembuatan lintasan maze algoritma depth first search diterapkan proses pencarian solusinya hasil pengujian disimpulkan algoritma prim depth first search berfungsi resolusi screen x pixels pembentukan lintasan pencarian solusi maze kunci mobile game android algoritma prim algoritma depth first search, Jurusan Teknik Informatika,RPL,"['teknologi', 'mobile', 'game', 'beroperating', 'system', 'open', 'source', 'berkembang', 'pesat', 'keragaman', 'variasinya', 'mobile', 'game', 'memiliki', 'peminat', 'kalangan', 'dasar', 'pengembang', 'mengembangkan', 'mobile', 'game', 'penelitian', 'mobile', 'game', 'mengasah', 'kemampuan', 'berfikir', 'dikembangkan', 'mengimplementasikan', 'algoritma', 'prim', 'depth', 'first', 'search', 'pembuatannya', 'algoritma', 'prim', 'diterapkan', 'pembuatan', 'lintasan', 'maze', 'algoritma', 'depth', 'first', 'search', 'diterapkan', 'proses', 'pencarian', 'solusinya', 'hasil', 'pengujian', 'disimpulkan', 'algoritma', 'prim', 'depth', 'first', 'search', 'berfungsi', 'resolusi', 'screen', 'x', 'pixels', 'pembentukan', 'lintasan', 'pencarian', 'solusi', 'maze', 'kunci', 'mobile', 'game', 'android', 'algoritma', 'prim', 'algoritma', 'depth', 'first', 'search']"
Perancangan Sistem Informasi Badan Kepegawaian Daerah ( BKD ) Bangkalan Sebagai Sub sistem dari E-Government Bangkalan Menggunakan TOGAF ADM ,MALIKUL HAMZAH,"Moch. Kautsar Sophan, S.Kom., M.MT.","Yeni Kustiyaningsih, S.Kom., M.Kom.",kantor badan kepegawaian kota bangkalan instansi pemerintahan bergerak bidang pelaya kepegawaian meningkatkan kualitas pelaya sistem informasi memonitoring membantu proses kinerja dinas penelitian dibahas menerapkan architecture enterprise bkd bangkalan menggunakkan metode togaf adm mengimplementa sikannya kedalam implementasi aplikasi enterprise dibentuk keterpaduan e government bangkalan togaf adm memiliki komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi intinya togaf architecture enterprise aspek penelitian dibahas perancangan sistem arsitektur sistem informasi bkd bangkalan sub sistem e government bangkalan togaf adm tujuannya menghasilkan sistem aplikasi administrasi kantor badan kepegawaian daerah bangkalan blue print memperbaiki efisiensi kenyama aksesibilitas pelaya publik kunci arsitektur interprise togaf adm arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi, Jurusan Teknik Informatika,RPL,"['kantor', 'badan', 'kepegawaian', 'kota', 'bangkalan', 'instansi', 'pemerintahan', 'bergerak', 'bidang', 'pelaya', 'kepegawaian', 'meningkatkan', 'kualitas', 'pelaya', 'sistem', 'informasi', 'memonitoring', 'membantu', 'proses', 'kinerja', 'dinas', 'penelitian', 'dibahas', 'menerapkan', 'architecture', 'enterprise', 'bkd', 'bangkalan', 'menggunakkan', 'metode', 'togaf', 'adm', 'mengimplementa', 'sikannya', 'kedalam', 'implementasi', 'aplikasi', 'enterprise', 'dibentuk', 'keterpaduan', 'e', 'government', 'bangkalan', 'togaf', 'adm', 'memiliki', 'komponen', 'utama', 'arsitektur', 'bisnis', 'arsitektur', 'data', 'arsitektur', 'teknologi', 'arsitektur', 'aplikasi', 'intinya', 'togaf', 'architecture', 'enterprise', 'aspek', 'penelitian', 'dibahas', 'perancangan', 'sistem', 'arsitektur', 'sistem', 'informasi', 'bkd', 'bangkalan', 'sub', 'sistem', 'e', 'government', 'bangkalan', 'togaf', 'adm', 'tujuannya', 'menghasilkan', 'sistem', 'aplikasi', 'administrasi', 'kantor', 'badan', 'kepegawaian', 'daerah', 'bangkalan', 'blue', 'print', 'memperbaiki', 'efisiensi', 'kenyama', 'aksesibilitas', 'pelaya', 'publik', 'kunci', 'arsitektur', 'interprise', 'togaf', 'adm', 'arsitektur', 'bisnis', 'arsitektur', 'data', 'arsitektur', 'aplikasi', 'arsitektur', 'teknologi']"
PEMANFAATAN TOGAF ADM UNTUK PERANCANGAN SISTEM INFORMASI DINAS PERINDUSTRIAN & PERDAGANGAN SEBAGAI SUB SISTEM ARSITEKTUR E-GOVERNMENT KABUPATEN BANGKALAN,Norman,"M. Kautsar Sophan, S.Kom., M. MT.","Yeni Kustiyahningsih S.Kom., M.Kom.",penyusu sistem informasi dinas perindustrian perdagangan disperindag kabupaten bangkalan meningkatkan kualitas pelaya membantu proses kinerja dinas salah faktor pendorong pemanfaatan sistem informasi meningkatnya kebutuhan fungsi pelaya dijalankan tujuan penerapan arsitektur enterprise menciptakan keselarasan bisnis teknologi informasi kebutuhan instansi penerapan arsitektur enterprise terlepas instansi merencanakan merancang arsitektur enterprise togaf adm metodologi lengkap instansi memahami tahapan tahapan metodologi diterjemahkan aktivitas perancangan arsitektur enterprise tahapan perancangan arsitektur enterprise berlanjut tahapan rencana implementasi togaf adm memiliki komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi intinya togaf arsitektur enterprise aspek menghasilkan model kerangka dasar mengembangkan sistem informasi terintegrasi mendukung kebutuhan dinas perindustrian perdagangan sesuai peraturan bupati bangkalan nomor uraian tugas jabatan struktural dinas perindustrian perdagangan, Jurusan Teknik Informatika,RPL,"['penyusu', 'sistem', 'informasi', 'dinas', 'perindustrian', 'perdagangan', 'disperindag', 'kabupaten', 'bangkalan', 'meningkatkan', 'kualitas', 'pelaya', 'membantu', 'proses', 'kinerja', 'dinas', 'salah', 'faktor', 'pendorong', 'pemanfaatan', 'sistem', 'informasi', 'meningkatnya', 'kebutuhan', 'fungsi', 'pelaya', 'dijalankan', 'tujuan', 'penerapan', 'arsitektur', 'enterprise', 'menciptakan', 'keselarasan', 'bisnis', 'teknologi', 'informasi', 'kebutuhan', 'instansi', 'penerapan', 'arsitektur', 'enterprise', 'terlepas', 'instansi', 'merencanakan', 'merancang', 'arsitektur', 'enterprise', 'togaf', 'adm', 'metodologi', 'lengkap', 'instansi', 'memahami', 'tahapan', 'tahapan', 'metodologi', 'diterjemahkan', 'aktivitas', 'perancangan', 'arsitektur', 'enterprise', 'tahapan', 'perancangan', 'arsitektur', 'enterprise', 'berlanjut', 'tahapan', 'rencana', 'implementasi', 'togaf', 'adm', 'memiliki', 'komponen', 'utama', 'arsitektur', 'bisnis', 'arsitektur', 'data', 'arsitektur', 'teknologi', 'arsitektur', 'aplikasi', 'intinya', 'togaf', 'arsitektur', 'enterprise', 'aspek', 'menghasilkan', 'model', 'kerangka', 'dasar', 'mengembangkan', 'sistem', 'informasi', 'terintegrasi', 'mendukung', 'kebutuhan', 'dinas', 'perindustrian', 'perdagangan', 'sesuai', 'peraturan', 'bupati', 'bangkalan', 'nomor', 'uraian', 'tugas', 'jabatan', 'struktural', 'dinas', 'perindustrian', 'perdagangan']"
APLIKASI METODE FUZZY ANALYTIC NETWORK PROCESS (FANP) UNTUK MENDUKUNG KEPUTUSAN PROSES PROMOSI JABATAN DI PT. SURYA MADISTRINDO PAMEKASAN,"Robiatul Adawiyah, S.Kom","Diana Rahmawati, S.T, M.T","Budi Dwi Satoto, S.T, M.Kom",perusahaan pemerintah swasta tujuan dicapai pencapaian tujuan perusahaan pemanfaatan sumber daya dimiliki optimal salah sumber daya sumber daya manusia dimiliki perusahaan sesuai peraturan ditetapkan pt surya madistrindo pamekasan proses promosi jabatan kriteria kriteria aspek kapasitas intelektual aspek sikap kerja aspek perilaku sub kriteria tersendiri metode metode fuzzy analytic network process fanp metode fanp mencari bobot prioritas kepentingan kriteria sub kriteria ditetapkan proses perangkingan bobot kriteria data karyawan pembobotan diperoleh hasil kuesioner pimpi perusahaan proses perangkingan mengalikan nilai bobot kriteria sub kriteria menyeleksi karyawan berhak menduduki jabatan tersedia berdasarkan kriteria kriteria ditentukan hasil uji coba menyelesaikan studi proses promosi jabatan karyawan menghasilkan nilai akurasi kunci sistem pendukung keputusan promosi jabatan fuzzy analytic network process fanp, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['perusahaan', 'pemerintah', 'swasta', 'tujuan', 'dicapai', 'pencapaian', 'tujuan', 'perusahaan', 'pemanfaatan', 'sumber', 'daya', 'dimiliki', 'optimal', 'salah', 'sumber', 'daya', 'sumber', 'daya', 'manusia', 'dimiliki', 'perusahaan', 'sesuai', 'peraturan', 'ditetapkan', 'pt', 'surya', 'madistrindo', 'pamekasan', 'proses', 'promosi', 'jabatan', 'kriteria', 'kriteria', 'aspek', 'kapasitas', 'intelektual', 'aspek', 'sikap', 'kerja', 'aspek', 'perilaku', 'sub', 'kriteria', 'tersendiri', 'metode', 'metode', 'fuzzy', 'analytic', 'network', 'process', 'fanp', 'metode', 'fanp', 'mencari', 'bobot', 'prioritas', 'kepentingan', 'kriteria', 'sub', 'kriteria', 'ditetapkan', 'proses', 'perangkingan', 'bobot', 'kriteria', 'data', 'karyawan', 'pembobotan', 'diperoleh', 'hasil', 'kuesioner', 'pimpi', 'perusahaan', 'proses', 'perangkingan', 'mengalikan', 'nilai', 'bobot', 'kriteria', 'sub', 'kriteria', 'menyeleksi', 'karyawan', 'berhak', 'menduduki', 'jabatan', 'tersedia', 'berdasarkan', 'kriteria', 'kriteria', 'ditentukan', 'hasil', 'uji', 'coba', 'menyelesaikan', 'studi', 'proses', 'promosi', 'jabatan', 'karyawan', 'menghasilkan', 'nilai', 'akurasi', 'kunci', 'sistem', 'pendukung', 'keputusan', 'promosi', 'jabatan', 'fuzzy', 'analytic', 'network', 'process', 'fanp']"
SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI MENU DIET BAGI PASIEN RAWAT INAP MENGGUNAKAN METODE HARRIS BENEDICT DAN EUCLIDEAN (Studi Kasus : RSUD Dr. H. Moh. Anwar Sumenep),Desy Mariana S. Kom,"Haryanto ST, MT","Firli Irhamni ST, M. Kom",pelaya pasien rawat inap rumah sakit tujuan menu diet sesuai syarat gizi minimal sesuai penyakit diderita pasien menu disediakan rumah sakit memperhatikan kebutuhan kalori pasiennya individu mengakibatkan penyediaan pasien sesuai kebutuhan kalori perhari pasien dibuatlah sistem pendukung keputusan rekomendasi menu diet pasien alat bantu penyediaan menu pasienmetode metode harris benedict perhitungan total kalori pasien metode euclidean perankingannya diharapkan aplikasi sistem pendukung keputusan merekomendasikan menu diet pasien beserta penjelasan kebutuhan kalori perhari asupan perhari dibatasi kunci sistem pendukung keputusan harris benedict euclidean, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['pelaya', 'pasien', 'rawat', 'inap', 'rumah', 'sakit', 'tujuan', 'menu', 'diet', 'sesuai', 'syarat', 'gizi', 'minimal', 'sesuai', 'penyakit', 'diderita', 'pasien', 'menu', 'disediakan', 'rumah', 'sakit', 'memperhatikan', 'kebutuhan', 'kalori', 'pasiennya', 'individu', 'mengakibatkan', 'penyediaan', 'pasien', 'sesuai', 'kebutuhan', 'kalori', 'perhari', 'pasien', 'dibuatlah', 'sistem', 'pendukung', 'keputusan', 'rekomendasi', 'menu', 'diet', 'pasien', 'alat', 'bantu', 'penyediaan', 'menu', 'pasienmetode', 'metode', 'harris', 'benedict', 'perhitungan', 'total', 'kalori', 'pasien', 'metode', 'euclidean', 'perankingannya', 'diharapkan', 'aplikasi', 'sistem', 'pendukung', 'keputusan', 'merekomendasikan', 'menu', 'diet', 'pasien', 'beserta', 'penjelasan', 'kebutuhan', 'kalori', 'perhari', 'asupan', 'perhari', 'dibatasi', 'kunci', 'sistem', 'pendukung', 'keputusan', 'harris', 'benedict', 'euclidean']"
RANCANG BANGUN APLIKASI PEMILIHAN TEKNIK REKAYASA KEBUTUHAN MENGGUNAKAN METODE SELF ORGANIZING MAP BERBASIS EUCLIDEAN DISTANCE DAN CANBERRA DISTANCE MATRIX,Lia Fransiska,"Firli Irhamni S.T, M.Kom","Budi Dwi Satoto S.T, M.Kom",penyusu sistem pendukung keputusan pemilihan teknik rekayasa kebutuhan membantu pengembang perangkat lunak membangun proyek perangkat lunak pemilihan teknik rekayasa kebutuhan berdasarkan pilihan system analis bersangkutan berdasarkan karakteristik teknik rekayasa kebutuhan sesuai proyek perangkat lunak menghasilkan perangkat lunak proses evaluasi pemilihan teknik rekayasa kebutuhan salah tahap proyek pengembangan perangkat lunak didalam spk proses pemilihan teknik rekayasa kebutuhan kriteria atribut project pengembang perangkat lunak proses clustering metode self organizing map som parameter distance matrix megani data multi dimensional euclidean canberra jenis distance matrix lazim tingkat akurasinya megani data riil hasil diperoleh membandingkan hasil clustering metode som berbasis euclidean distance canberra distance matrix menghasilkan teknik rekayasa kebutuhan efisien obyektif sesuai karakteristik proyek perangkat lunak kunci sistem pendukung keputusan teknik rekayasa kebutuhan clustering self organizing map canberra distance matrix, Jurusan Teknik Informatika,RPL,"['penyusu', 'sistem', 'pendukung', 'keputusan', 'pemilihan', 'teknik', 'rekayasa', 'kebutuhan', 'membantu', 'pengembang', 'perangkat', 'lunak', 'membangun', 'proyek', 'perangkat', 'lunak', 'pemilihan', 'teknik', 'rekayasa', 'kebutuhan', 'berdasarkan', 'pilihan', 'system', 'analis', 'bersangkutan', 'berdasarkan', 'karakteristik', 'teknik', 'rekayasa', 'kebutuhan', 'sesuai', 'proyek', 'perangkat', 'lunak', 'menghasilkan', 'perangkat', 'lunak', 'proses', 'evaluasi', 'pemilihan', 'teknik', 'rekayasa', 'kebutuhan', 'salah', 'tahap', 'proyek', 'pengembangan', 'perangkat', 'lunak', 'didalam', 'spk', 'proses', 'pemilihan', 'teknik', 'rekayasa', 'kebutuhan', 'kriteria', 'atribut', 'project', 'pengembang', 'perangkat', 'lunak', 'proses', 'clustering', 'metode', 'self', 'organizing', 'map', 'som', 'parameter', 'distance', 'matrix', 'megani', 'data', 'multi', 'dimensional', 'euclidean', 'canberra', 'jenis', 'distance', 'matrix', 'lazim', 'tingkat', 'akurasinya', 'megani', 'data', 'riil', 'hasil', 'diperoleh', 'membandingkan', 'hasil', 'clustering', 'metode', 'som', 'berbasis', 'euclidean', 'distance', 'canberra', 'distance', 'matrix', 'menghasilkan', 'teknik', 'rekayasa', 'kebutuhan', 'efisien', 'obyektif', 'sesuai', 'karakteristik', 'proyek', 'perangkat', 'lunak', 'kunci', 'sistem', 'pendukung', 'keputusan', 'teknik', 'rekayasa', 'kebutuhan', 'clustering', 'self', 'organizing', 'map', 'canberra', 'distance', 'matrix']"
DETEKSI COREPOINT SIDIK JARI MENGGUNAKAN METODE GEOMETRY OF REGION TECHNIQUE (GR),Erwina Safitri,"Dr. Indah Agustien, S.Kom., M.Kom","Fitri Damayanti, S.Kom., M.Kom",sidik jari salah karakteristik fisik manusia identifikasi manusia sidik jari karakteristik berubah kecuali luka rusak akibat kecelakaan sidik jari tindak kriminal pencurian kecurangan administrasi proses pendeteksian sidik jari memudahkan berwajib megani proses pendeteksian lakukan program komputer tahap perhitungan penentuan titik kenal corepoint proses berperan proses identifikasi manusia menentukan corepoint titik sidik jari manual otomatis manual lakukan kasat mata otomatis tentukan sistem tugas menentukan corepoint sidik jari otomatis metode geometry of region technique gr citra tugas diperoleh database fvc fingerprint bitmaps hasil uji coba sistem terbaik deteksi corepoint sidik jari metode geometry of region technique gr m v proses normalisasi ukuran blok x pixel hasil akurasi sistem didapatkan kunci sidik jari corepoint geometry of region technique gr normalisasi, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['sidik', 'jari', 'salah', 'karakteristik', 'fisik', 'manusia', 'identifikasi', 'manusia', 'sidik', 'jari', 'karakteristik', 'berubah', 'kecuali', 'luka', 'rusak', 'akibat', 'kecelakaan', 'sidik', 'jari', 'tindak', 'kriminal', 'pencurian', 'kecurangan', 'administrasi', 'proses', 'pendeteksian', 'sidik', 'jari', 'memudahkan', 'berwajib', 'megani', 'proses', 'pendeteksian', 'lakukan', 'program', 'komputer', 'tahap', 'perhitungan', 'penentuan', 'titik', 'kenal', 'corepoint', 'proses', 'berperan', 'proses', 'identifikasi', 'manusia', 'menentukan', 'corepoint', 'titik', 'sidik', 'jari', 'manual', 'otomatis', 'manual', 'lakukan', 'kasat', 'mata', 'otomatis', 'tentukan', 'sistem', 'tugas', 'menentukan', 'corepoint', 'sidik', 'jari', 'otomatis', 'metode', 'geometry', 'of', 'region', 'technique', 'gr', 'citra', 'tugas', 'diperoleh', 'database', 'fvc', 'fingerprint', 'bitmaps', 'hasil', 'uji', 'coba', 'sistem', 'terbaik', 'deteksi', 'corepoint', 'sidik', 'jari', 'metode', 'geometry', 'of', 'region', 'technique', 'gr', 'm', 'v', 'proses', 'normalisasi', 'ukuran', 'blok', 'x', 'pixel', 'hasil', 'akurasi', 'sistem', 'didapatkan', 'kunci', 'sidik', 'jari', 'corepoint', 'geometry', 'of', 'region', 'technique', 'gr', 'normalisasi']"
